MeterId,Fac Id,Desc,Date,VolYdy,Casing,Tubing,Static
49037209E,MANCMP_FTUN_FG,ManCamp Fuel Gas,1/29/2021,32.52533,,,107.8249266
49037211S,MANCMP_FTUN_VRU,ManCamp VRU,1/29/2021,0,,,11.57216543
49037212S,MANCMP_S08_23V_ALL,FTUN 1495 S08-23V Allocation,1/29/2021,1603.224,728.274872,223.2254924,217.234486
49037213S,MANCMP_S08_24V_ALL,FTUN 1495 S08-24V Allocation,1/29/2021,1036.057,456.1957627,220.259973,217.0655146
49037214S,MANCMP_S17_02V_ALL,FTUN 1495 S17-02V Allocation,1/29/2021,1422.681,490.4726518,204.2509078,216.9798943
49037215E,MANCMP_S17_03V_ALL,FTUN 1495 S17-03V Allocation,1/29/2021,1364.425,510.248256,223.1984163,217.0693028
49037216E,POLAR_BAR_2,Polar Bar 2,1/29/2021,255.5918,,,187.8342396
49037217E,POWDER_MNT_34_26S2SR,Powder Mnt  34-26 s2sr,1/29/2021,69.18941,,,384.845217
49037218E,WEST_SLOPE_33_32,West Slope  33-32,1/29/2021,31.98651,,,203.0611884
49037065E,BARCAD_1496_05V,Barricade 1496-S26-05V All-BLM,1/30/2021,170.5333,,,175.5794377
49037074E,BARCAD_1496_16V,Barricade 1496-S26-16V All-BLM,1/30/2021,206.344,,,211.5271333
49037103E,BARCAD_1595_11V,Barricade 1595-S31-11V Alloc,1/30/2021,460.8592,,,58.90604991
49037106E,BARCAD_1595_16V,Barricade 1595-S31-16V Alloc,1/30/2021,971.0112,,,194.9723087
49037058E,BARCAD_21_11H_M,Barricade 21-11H M,1/30/2021,290.3257,,,228.2686895
49037113E,BARCAD_22_06_CP,Barricade 22-06 Sales,1/30/2021,506.7813,,,189.2027094
49037114E,BARCAD_22_06H_4H,Barricade 22-06H 4H,1/30/2021,342.5847,,,40.51622378
49037117E,BARCAD_22_06H_5H,Barricade 22-06H 5H,1/30/2021,248.0128,,,37.13523886
49037118E,BARCAD_23_31_CP,Barricade 23-31 Sales,1/30/2021,819.1253,,,195.6135064
