Period: 02/2021,,Beg. Oil,Gross Oil,Total Oil,Other Oil,End Oil,,Gross Gas,Total Gas,Gas Used,Gas,Gas Plant,,Water
Site Name & Number,Days,Balance,Production,Sales,Usage,Balance,Avg,Production,Sales,On Lease,Flared,Inlet Volume,Avg,Production
,On,(Bbls),(Bbls),(Bbls),(Bbls),(Bbls),Grav,(Mcf),(Mcf),(Mcf),(Mcf),(Mcf),BTU,(Bbls)
WY Production,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
CEPO Field,,,,,,,,,,,,,,
ENDURANCE 21-32,28,0.00,0.00,0.00,0.00,0.00,53.6,200.09,185.56,14.53,0.00,185.56,1200,0.00
ENDURANCE 41-29S1 CP,28,0.00,0.00,0.00,0.00,0.00,0.0,27292.78,23150.46,4142.32,0.00,23150.46,1278,0.00
ENDURANCE 41-29S1LH,28,191.52,25.48,0.00,0.00,217.00,48.2,6280.19,5327.03,953.17,0.00,5327.03,1278,1305.52
ENDURANCE 41-29S1MH,28,110.64,694.78,498.28,0.00,307.14,58.2,4173.98,3540.48,633.50,0.00,3540.48,1278,388.78
ENDURANCE 41-29S1UH,28,359.75,486.15,490.82,0.00,355.08,48.4,16838.61,14282.95,2555.65,0.00,14282.95,1278,436.11
ENDURANCE 42-10 INJ,28,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,0.00
ENDURANCE 42-10 INJ INFO ONLY,0,0.00,0.00,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0,0.00
ENDURANCE 42-30-1V,27,115.60,88.11,0.00,0.00,203.71,56.8,1914.80,1770.35,144.45,0.00,1770.35,1292,108.33
ENDURANCE 44-32,28,181.50,136.70,247.76,0.00,70.44,53.6,4378.86,3098.41,1280.46,0.00,3098.41,1263,121.69
ENDURANCE 1595 S29-18V,28,38.68,155.50,151.80,0.00,42.38,53.6,9052.18,8394.79,657.39,0.00,8394.79,1200,149.92
ENDURANCE 1595 S29-29V,28,35.80,203.75,183.54,0.00,56.01,53.6,3848.04,3568.59,279.45,0.00,3568.59,1200,695.15
ENDURANCE 1595 S32-13V,28,0.00,45.90,32.73,0.01,13.16,53.6,5062.67,4695.01,367.66,0.00,4695.01,1200,1583.70
ENDURANCE 1595 S32-19V,28,21.63,84.82,83.17,0.00,23.28,53.6,4821.51,4471.37,350.15,0.00,4471.37,1200,287.85
ENDURANCE 1595 S32-21V,28,21.67,90.48,86.99,0.01,25.15,53.6,4609.51,4274.76,334.75,0.00,4274.76,1200,51.87
ENDURANCE 1595 S32-25V,28,31.10,120.63,118.42,0.00,33.31,53.6,6967.52,6461.52,505.99,0.00,6461.52,1200,157.92
ENDURANCE 1595 S32-26V,28,97.48,325.14,333.30,0.01,89.31,53.6,15354.51,14239.43,1115.07,0.00,14239.43,1200,57.47
ENDURANCE UNIT 23-5,26,301.01,109.42,254.48,0.00,155.95,51.3,6247.49,5048.63,1198.86,0.00,5048.63,1,704.99
ENDURANCE UNIT 42-5,28,195.79,79.27,0.00,0.00,275.06,54.4,4948.18,3724.30,1223.88,0.00,3724.30,1289,19.17
ENDURANCE UNIT 44-29,28,96.54,42.58,0.00,0.00,139.12,49.5,3456.59,2232.71,1223.88,0.00,2232.71,1292,58.33
ENDURANCE/WEST SLOPE 32 CP,28,0.00,0.00,0.00,0.00,0.00,0.0,4893.00,3462.20,1430.80,0.00,3462.20,1263,0.00
FTUN 1495 S08-SW1 CP,28,656.92,2622.93,2492.19,0.00,787.66,55.0,146678.35,145752.35,926.00,0.00,145752.35,1,2679.03
FTUN 1495 S08-23V,28,161.95,733.56,672.25,0.01,223.25,55.0,48147.86,47843.90,303.96,0.00,47843.90,1,1013.88
FTUN 1495 S08-24V,28,96.56,387.64,366.77,0.00,117.43,55.0,27760.27,27585.01,175.25,0.00,27585.01,1,348.61
FTUN 1495 S17-02V,28,212.49,868.95,817.55,0.00,263.89,55.0,36316.26,36086.99,229.27,0.00,36086.99,1,365.59
FTUN 1495 S17-03V,28,160.11,683.48,635.61,0.01,207.97,55.0,34453.96,34236.44,217.51,0.00,34236.44,1,950.95
PM-PB-05V-16V CP,28,0.00,0.00,0.00,0.00,0.00,0.0,14531.51,14531.51,0.00,0.00,14531.51,1175,0.00
WEST SLOPE UNIT 33-32,27,245.60,15.21,0.00,0.00,260.81,52.4,514.14,363.79,150.34,0.00,363.79,1263,16.66
Field Totals,,10321.05,13394.09,13454.22,0.05,10260.87,,872334.84,815353.81,56981.03,0.00,815353.81,,34579.42
,,,,,,,,,,,,,,
Monthly Totals,,11427.03,13674.82,13953.46,0.05,11148.34,,911424.96,852238.23,59186.73,0.00,826371.63,,35333.16
